SalesAgent,Reviews
2Veld Makelaars,"attent, vriendelijk en behulpzaam met welke vraag dan ook over de verkoop van mijn huis. Ik zou ander mensen deze makelaar aanbevelen.Na het eerste gesprek wisten we zeker dat we deze makelaar ons volledige vertrouwen konden geven. De begeleiding tijdens het verkooptraject was uitstekend. Niets dan lof voor 2Veld Makelaars!Hartelijk dank voor deze mooie beoordeling!2Veld is zeer ervaren, en straalt dat ook uit. De persoonlijke benadering en deskundigheid zijn geruststellend tijdens het spannende proces van de verkoop van een huis. Deze makelaar weet goed wat er in de buurt waar mijn huis in de verkoopkwam gebeurd. Goede service en werd tijdig geïnformeerd en op de hoogte gehouden. Voor assistent Marka , een topper! Een deskundige makelaar zeker aan te bevelen. Ons contact met de makelaar verliep vanaf het begin al heel prettig.Is kundig , doelgericht en realistisch. Woning snel verkocht."
3D Makelaars B.V.,"3D Makelaars zijn zeer ervaren en behulpzame makelaars. Zij denken mee en adviseren ze waarbij nodig is.Ik heb de zaken met 3D als zeer prettig ervaren. Alles rondom de verkoop is soepel, goed en snel verlopen. Dus mocht u op zoek zijn naar een makelaar dan beveel ik u 3D makelaars zeker aan!Prettig en positief contact vanaf de eerste minuut. Een makelaar die er vol voor gaat, ook als de situatie tussentijds wijzigd.Top makelaar , kan er kort in zijn100 karakters is hierdoor veel te veel om in te vullen , maar anders is het niet te versturen op deze site3D makelaars is een fijn en betrokken makelaarskantoor. Die met veel enthousiasme ons huis hebben verkocht. Het contact was erg prettig dit kwam door het snel en vakkundig schakelen."
3B Makelaardij b.v.,"Makelaar komt snel in de lucht na een appje of een belletje. Heeft goed advies gegeven voor en tijdens de verkoop.De hele verkoopprocedure is snel en adequaat verlopen. Het contact met de makelaar en zijn team was prettig maar ook professioneel, dit gaf ons vertrouwen in een goede verkoop van ons huis hetgeen ook prima gelukt is.Service begeleiding en communicatie waren prima. Ik vind het moeilijk om de marktkennis te beoordelen. De actuele lokale marktkennis is prima.Bas is een zeer ervaren makelaar, met veel passie voor zijn vak! Dat blijkt uit het feit dat mijn huis binnen 3 dagen was verkocht.Ik zou hem aanbevelen voor verkoop van je woning!Wij hebben bij Bas ons nieuwe huis gekocht en oude huis verkocht. In beide gevallen is het ons zeer goed bevallen. Hij heeft een eerlijke, transparante, flexibele en authentieke manier van werken.In beide gevallen was het snel en naar volle tevredenheid geregeld. Wij zouden hem zeker aanraden."
A New Home Makelaardij,"Wij zijn zeer tevreden over de kundigheid van A New Home makelaar.Een dikke pluim voor jullie. Bedankt voor alles.Bedankt voor de mooie beoordeling en de fijne samenwerking.Team A New Home Makelaardij.Goede samen werking en begeleiding. en vooral heel goede deskundigheid. Bedankt voor de mooie beoordeling.Team A New Home MakelaardijTop Makelaar! Is zeer deskundig, heeft ook een menselijk inzicht en is ontzettend behulpzaam en vriendelijk. Ze is duidelijk, neemt de tijd om alles correct uit te leggen. Is duidelijk in de prijs. Foto's die gemaakt zijn door zeer deskundige mensen, een ontzettend leuke ervaring. Snelle reacties op mail of telefoon. Zeer vriendelijk personeel met een human touch! A new home doet de naam eer aan. Een echte aanrader, niet alleen omdat ons huis zo snel verkocht is. Beste meneer Lamers,Wij danken u voor deze mooie beoordeling en hopelijk zien we elkaar weer in de toekomst!Met vriendelijke groet,TEAM - A New Home MakelaardijHeel goed! Een begripvolle benadering met persoonlijke aandacht. regels goed toegepast!Een snel resultaat! Dankjewel voor deze mooie beoordeling en veel geluk in jullie nieuwe woning. Hopelijk weer eens tot ziens ! Team van A New Home MakelaardijWij hebben in 2 jaar tijd 2 huizen via A new Home verkocht en een woning gekocht. Wij zijn enorm tevreden met de begeleiding bij de verkoop. Dank je wel voor deze mooie beoordeling, en hopelijk tot ziens.Team A New Home Makelaardij"
& Bijleveld makelaardij b.v.,"Alice en Angelique hebben me enorm geholpen met de verkoop van mijn huis! Ze zijn behulpzaam, goed bereikbaar, betrokken en integer. Ze behandelen ook de wederpartij met respect in deze oververhitte Amsterdamse huizenmarkt, wat heeft geleid tot een soepel proces en een goed resultaat voor mij als verkoper.Angelique, Alice, Esther en Mireille hebben ons professioneel en super begeleid, hadden nuttige tips voor het verkoop klaar maken van ons appartement (do's en don'ts!!) en goed advies voor de insteek en benadering van de verkoop.Ook tijdens het verkoop process een prettige communicatie met terugkoppeling over de voortgang en professioneel advies voor de vervolgstappen in de onderhandelingen, wat het toch wel spannenende verkoop proces behoorlijk aangenamer maakt.Al met al een geslaagde verkoop door &Bijleveld!ENORM veel dank voor deze geweldige review!! En heel veel geluk in jullie mooie groene plekje....!Angelique, Alice en Esther zijn kundig en heel prettig om mee te werken. Ze overtroffen mijn verwachtingen door echt goed mee te denken en oplossingen te zoeken als een onvoorziene situatie daarom vraagt. Ik zou & Bijleveld zeker aanraden als je een makelaar zoekt! Enorm veel dank lieve M voor niet alleen het allerhoogste cijfer maar ook de hartverwarmende toelichting. Dank ook voor de prettige samenwerking...!Angelique Bijleveld is een zeer deskundige en professionele makelaar die heel goed weet hoe je een huis moet verkopen. Haar tips voor de verkoop van het huis zijn doeltreffend en ze werkt met mensen samen die een goede kwaliteit leveren. Ze luistert goed en reageert snel. Het is heel fijn om met haar samen te werken. In Abcoude was ze nog niet zo thuis maar vanaf nu wel. Ik kan haar zeker aanbevelen! Beste Jannie, wat een geweldige review dankjewel! Het resultaat was ook mede door onze geweldige samenwerking. Het huis zag er elke keer onberispelijk uit en dat wist de koper ook zeer te waarderen. Nu op naar je mooie huis in Amsterdam, waar onze leuke kennismaking en relatie startte. Dank nogmaals ook namens het hele team!!Prettig in omgang en zeer correct in het op de hoogte houden van de voortgang.Zou bij een volgende keer zeker weer aankloppen bij &Bijleveld"
11 Makelaars Amsterdam,"Op een deskundige en plezierige wijze heb ik genoten van de vakkundige diensten en goede kennis van 11Makeaars.Wij zijn prima geadviseerd en geholpen door Niels en zijn aardige en gemotiveerde medewerkers. Rustig, onderbouwd en op een duidelijk wijze werden ons de mogelijkheden voorgehouden die bij de verkoop van de woning op ons afkwamen. Voor ons maakte 11Makelaars het positieve verschil dat we al snel het gevoel en de overtuiging kregen dat het om ons als klant ging en niet om de makelaar die een geolied verkoopapparaat wilde laten draaien om zelf een stevige factuur te kunnen sturen, Chapeau 11Makelaars !Makelaar Niels heeft ons fantastisch begeleid in dit spannende proces en een goede koper gevonden die een mooie prijs heeft betaald. Zeker een aanrader. Niels is een goed bereikbare no nonsense vent die je het gunt.Het contact met de makelaar verliep uitstekend temeer daar er vaak overlegd is op afstand per telefoon vanuit Frankrijk en per e-mail wat altijd wat moeilijker is dan gesprekken in een lijflijke ontmoeting.Het verkoopproces verliep precies zoals van te voren werd aangegeven. Korte lijntjes, op tijd en gelukkig niet steeds afgezegde afspraken"
2M Makelaars,"Heel vriendelijke makelaarKan snel handelen en schakelenHeeft verstand van de huizenmarktKomt zijn afspraken naEr was altijd snelle reactie als ik vragen had of belde.Zeer snel verkocht en goed op de hoogte gehouden over alles.Ook goed advies gekregen over hoe de verkoop aan te pakken, de brochure was heel mooi met mooie foto's.Heel fijn contact gehad met deze makelaar. Hebben ons goed geholpen en binnen korte tijd ons huis verkocht! Ook na het geaccepteerde bod alles gaandeweg uitlegt en ons goed op de hoogte gehouden!De verkoop van ons huis ging in goede samenwerking met Arjen Vos en zijn team. Vanbegin tot het eind was het team helder en doortastend. Iedere stap werd besproken en uitgevoerd. De communicatie verliep duidelijk, transparant en vlot. Kortom een 'dream-team' en zeer aan te bevelen.Na een huis aangekocht te hebben via 2M wat een positieve ervaring was, zijn we ook met hen in zee gegaan voor de verkoop van ons eigen huis. Alles kon snel in gang gezet worden. Afspraken waren helder en werden nagekomen. Uiteindelijk is ons huis binnen 5 dagen verkocht. Ze hebben duidelijk verstand van de markt, luisteren naar de wensen van de verkopers en zijn goed bereikbaar voor vragen. Prijstechnisch zijn ze ook nog eens een stuk goedkoper dan andere makelaars, een win win situatie dus. Wij kunnen 2M makelaars dan ook bij iedereen aanbevelen. "
2M makelaars,"Ben zeer tevreden over de begeleiding van de verkoop van onze woning.Daarnaast was de makelaar zeer deskundig en accuraat. Alles bij elkaarzouden wij 2M makelaar aan een iederaanbevelen. Mensen met verstand van zaken. Schakelen snel en op zeer professionele wijze stond ons huis snel in de verkoop. Een fotograaf die weet hoe hij een huis moet verkopen door middel van zijn foto’s. Ik ben niet van plan snel weer een woning te verkopen, maar als dit gaat gebeuren dan zeker weer met 2M. Goedemiddag,Hartelijk dank voor deze mooie beoordeling! Veel woonplezier op uw nieuwe adres toegewenst.Met vriendelijke groet,Team 2M MakelaarsVriendelijke en deskundige begeleiding. Alles gaat in onderling overleg. Goed bereikbaar en bij vragen kreeg ik snel antwoord.Goedemiddag,Hartelijk dank voor deze mooie beoordeling en reactie!Met vriendelijke groet,Team 2M MakelaarsProfessionele, kundige en vlotte afhandeling. Ik zou 2M Makelaars zeker aanbevelen bij familie, vrienden en bekenden! Bedankt voor jullie geboden goede service, wij waarderen dit zeer.Alles ging heel soepel en transparant. Al met al is het super snel gegaan en heeft 2M's Nicolette ons van begin tot eind ontzorgt.Ga zo door!Goedemorgen,Bedankt voor de mooie beoordeling!Met vriendelijke groet,Team 2M Makelaars"
2Veld Makelaars,"Deze makelaar heeft zeer goede kennis van de markt.Ook backoffice is prima in orde.Ik kan deze makelaar van harte aanbevelen.Weet U een betere?Wij zijn super goed geholpen door 2veld makelaars. Geen vraag was te veel en de service uit de kunst. Ze zijn persoonlijk en regelen alles tot in de puntjes. Je word met alles goed op de hoogte gehouden. De volgende keer als ik een huis koop of verkoop, ga ik weer naar 2 veld makelaar. Ik zou iedereen 2veld makelaars aanbevelen. Deskundige begeleiding, altijd bereidt om vragen te beantwoorden en altijd een terugkoppeling na elke ontwikkeling mbt bijv. Kijkers, biedingen en vragen, echt een perfecte samenwerking!Persoonlijke en heldere begeleiding. Degelijke kennis van zaken in alle stappen van het verkoop proces. Fijn contact en goede voorlichting en medewerking, prettige samenwerking, zeker aanbevolen door mij, Goede foto's gemaakt en perfecte begeleidingHelemaal naar wens, vanaf het eerste moment"
020-Makelaars,"Het contact met 020-Makelaars verliep heel prettig. Er werd ruim de tijd genomen bij voorbereiding verkoop en het doornemen van de koopakte. Veel kennis van de markt en in goed overleg de vraagprijs vastgesteld. De bezichtigingen verliepen soepel terwijl wij op vakantie waren. Snelle, duidelijke en persoonlijke communicatie. Absolute aanrader!Frits ,een leuke eerlijke man met goed advies en hulp hij zorgde dat wij er weinig werk aan hadden en heeft een goede prijs er uitgeslepen.Wij waren blij en zeer tevreden.Dank voor je beoordeling! Veel interesse in jullie woning en goede biedingen! Het contact verliep goed tot uitstekend. Hij reageerde snel op e-mails en vragen. Prettig in de omgang.I chose 020 makelaars by seeing their reviews on Funda . Frits leaded selling process with satisfying result. If I will need property broker in future I will get back to him. Frits was erg zorgvuldig, en heeft het verkoop proces van ons huis erg goed begeleid. We zouden hem zeker aanraden aan anderen!"
