name_broker,zipcode_broker,description_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months,url
Schieland Borsboom regio Rotterdam,3011 KA,"Met kantoren in Rotterdam, Den Haag en Zoetermeer, een team waar we heel blij mee zijn, een mooie woningportefeuille en een flinke dosis gedrevenheid, staan wij dagelijks klaar voor onze kopers, verkopers, huurders, verhuurders, beleggers en projectontwikkelaars. Met trots prijken wij ieder jaar steevast in de Top 10 van de Vastgoed Top100 als Best Verkopende Makelaars.Ons makelaarskantoor bestaat al sinds 1980. Van éénpitter, naar familiebedrijf, naar een speler van formaat op de woningmarkt in de regio Den Haag Haaglanden, Zoetermeer, Delft, Leiden, Lansingerland en Rotterdam Rijnmond.‘Groot geworden door klein te blijven’ is dan ook een quote die ons past als een jas. In de vaak hectische en soms emotionele vastgoedmarkt, ligt onze kracht onverminderd bij het kwalitatief hoogwaardig, maar no-nonsense en vooral persoonlijk makelen. Wij houden het hoofd koel en het hart warm.Maar genoeg over ons; wij maken graag kennis met u! Nodig ons uit voor een geheel vrijblijvend gesprek en vertel ons over ú, uw woning, uw droomwoning, uw wensen, uw vragen en uw verwachtingen van ons. Wij zijn benieuwd!  ",67,463,392,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15501-schieland-borsboom-regio-rotterdam/
Hans Janssen Garantiemakelaars,6511 TE,"Wij onderscheiden ons in de eerste plaats door onze medewerk(st)ers! Zij bepalen de kwaliteit van de dienstverlening van Hans Janssen Garantiemakelaars. Maak kennis met één van hen en met onze specifieke werkwijze als NVM makelaar, Garantiemakelaar en NVM nieuwbouw-specialist!Hans Janssen Garantiemakelaars is actief als:Oriënteer u op onze website www.hansjanssen.nl en bel of mail voor een afspraak..",137,399,493,https://www.funda.nl/en/makelaars/kantoor/nijmegen/13117-hans-janssen-garantiemakelaars/
van Santvoort Makelaars,5654 AN,"Thuis in uw regio  Van Santvoort Makelaars is thuis in de regio. En kent de omgeving als geen ander. Wij helpen u bij transacties van woningen, nieuwbouw, bedrijfspanden en agrarisch onroerend goed. Bij verkoop, aankoop, huur, verhuur, nieuwbouwconsultancy, taxaties en financiële diensten bieden wij u meerwaarde.Persoonlijke aanpak  Bij Van Santvoort leven we ons in en verdiepen we ons in uw vraag. Iedere opdracht begint met een persoonlijk gesprek. U kunt rekenen op een werkwijze die een NVM-makelaar eigen is.NVM  Als NVM-makelaar garanderen wij u een dienstverlening die niets te wensen overlaat. Kennis van zaken, een gedegen begeleiding en een regelmatige terugkoppeling zijn daarbij inbegrepen. Het resultaat komt overeen met uw verwachtingen.Bij Van Santvoort Makelaars vindt u een breed dienstenpakket. Met dit aanbod bieden wij u een passend antwoord op uw vraag. Geheel overeenkomstig uw wensen en behoeften. Ruim dertig jaar kennis en ervaring werken in uw voordeel.",153,561,417,https://www.funda.nl/en/makelaars/kantoor/eindhoven/14269-van-santvoort-makelaars/
Corpowonen,7901 AE,"Corpowonen is dé landelijke internetmakelaar voor verkoop en verhuur van woningen door woningcorporaties die zelf actief betrokken wensen te zijn bij het verkoop- en verhuurproces.Wij onderscheiden ons van de traditionele makelaar door het aanbieden van deeldiensten op het gebied van verkoop van bestaande koopwoningen, verkoop van nieuwbouwprojecten en verhuur van (vrije sector) huurwoningen.",3,191,991,https://www.funda.nl/en/makelaars/kantoor/hoogeveen/22230-corpowonen/
TW3 Strategie Marketing Makelaardij,3016 CJ," TW3 is een kantoor met een onderscheidende dienstverlening, gefundeerd op expertise en een betrouwbare procedure conform NVM-regelgeving. Wij bieden u een mix van diensten: - projectadvies in de voorbereiding en haalbaarheidsstudies - marketingvisies en -begeleiding - makelaarsdiensten zoals begeleiding bij aan- en verkoop, verhuur, financieel advies en taxatie - financiële expertise en kennis van de markt in het geval van beleggingsobjecten TW staat voor Toegevoegde Waarde De 3 staat voor de verbeelding van de 3 diensten onder één dak: - makelaarsdiensten - strategie - marketingOnze aanpak is gestoeld op een brede expertise, jarenlange ervaring, een uitstekende kennis van regelgeving, inzicht in consumentenwensen en creativiteit in de uitvoering. Flexibiliteit is de kernwaarde van onze werkwijze die zich uit in het dienstenpakket en ons klantgericht werken.TW3 beschikt over een breed en diep netwerk in de markt. Door de combinatie van kennis en creativiteit is TW3 in staat om juist in de veranderde woningbouwmarkt het verschil te kunnen maken voor partijen. De regio is Groot-Rotterdam/Gouda/Haaglanden, maar de specifieke expertise is ook landelijk inzetbaar. De adviseurs en makelaars van TW3 zijn Marco Jongeleen, Göran Boon en Tom van Noord. Zelfstandig opererende medewerkers die elkaar op de diverse kennisvlakken kunnen aanvullen en ondersteunen.Centraal in onze werkwijze staat de klant. Per project fungeert de verkoopadviseur van TW3 als het aanspreekpunt voor U, de klant binnen het project. Een platform waar U met alle vragen terecht kunt omtrent de aankoop of huur van de nieuwe woning, taxaties, financieel advies, verkoop eigen woning, keuze kopersvraagstukken. Graag zijn wij uw vertrouwenspersoon in het gehele traject. Wij stellen ons flexibel op in tijd en locatie omtrent afspraken. Zo kunt u afspraken maken op diverse afspreekpunten of als u dat wenst bij u thuis.",Missing,566,447,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15460-tw3-strategie-marketing-makelaardij/
Eefje Voogd Makelaardij,1077 DG," Wij zijn de moderne partner met jarenlange ervaring in de onroerend goed markt in Amsterdam en omstreken. Onze klantenkring varieert van particulieren tot projectontwikkelaars. Van hen die een huis willen aan- of verkopen of willen laten taxeren tot degenen die onze expertise inschakelen bij de voorbereiding, en verkoop of verhuur,  van projectmatig onroerend goed (nieuwbouw of uitponding). We zijn makelaars met een creatieve geest en trachten op originele wijze gestelde doelen te realiseren. We zijn enthousiast en gedreven in alles wat we doen en kennen de branche in al haar facetten. Niet alleen de zakelijke kant, maar ook sociale aspecten hebben onze volle aandacht. We zijn alert op nieuwe trends en vertalen dit in onze werkwijze. Onze expertise betekent uw gemak. Het is ons plezier en onze kracht om een uitdaging te accepteren teneinde tot een optimale dienstverlening te komen, van begin tot eind en zelfs daarna nog!",Missing,657,484,https://www.funda.nl/en/makelaars/kantoor/amsterdam/24705-eefje-voogd-makelaardij/
Frisia Makelaars,2585 AA,"Frisia Makelaars staat voor u klaar! Naast een goed en doortastend advies, nemen wij al het werk uit handen bij de verkoop en/of aankoop, verhuur van  uw woning, wat voor u waarschijnlijk geen dagelijkse kost is. Voor ons wel, wij zijn vertegenwoordigd in vrijwel alle denkbare (sociale) netwerken.  Het is ons vak en wij vinden het belangrijk om mensen gelukkig te zien, die een  nieuwe stap zetten in hun wooncarrière. Door ons kantoor in te schakelen bij  de verkoop dan wel de aankoop van uw woning wordt de kans op ""een transactie zonder verrassingen"" groter. Ons kantoor werkt met van tevoren overeengekomen tarieven voor transactiebegeleiding. Zelfs met inschakeling van Frisia Makelaars bent u zeker niet duurder uit. Vakmanschap: Frisia Makelaars geeft antwoord op iedere ""vraag"" over onroerend goed en biedt oplossingen voor complexe vraagstukken van uiteenlopende aard en grootte.De Frisia Makelaars organisatie biedt houvast bij vastgoed:  Jarenlange ervaring en helemaal up to date op elk gebied van de onroerend goedmarkt maakt ons tot een betrouwbare moderne adviseur en vertegenwoordiger van uw belangen.  Uw belang is ons doel! Wij koesteren de persoonlijke en duurzame relatie,  gebaseerd op eerlijkheid. Onze adviezen moeten helder, direct en duidelijk  zijn. Onze kennis over de markt en het vakgebied staan op een hoog peil. Ten  behoeve van de uitvoering van de opdrachten wordt hier op efficiënte manier  gebruik van gemaakt. Onze vakmensen maken uw verwachtingen waar. Hun kennis en vaardigheden bieden u houvast bij het nemen van de juiste beslissingen over vastgoed.Tevens maakt Frisia Makelaars deel uit van een samenwerkingsverband van  veertien zelfstandige regionale makelaarskantoren: Dynamis, Vastgoedconsultants en Makelaars.  Dynamis richt zich op de landelijke zakelijke markt van vastgoeddiensten met  als strategie: ""landelijke dekking, regionale diepgang en uniforme werkwijze"".Dynamis heeft vestigingen in heel Nederland;  Rodenburg Makelaars in Apeldoorn, Deventer en Zutphen, Strijbosch Thunissen Makelaars in Arnhem en Nijmegen, Verschuuren & Schreppers Bedrijfsmakelaars in Eindhoven, Frisia Makelaars in Den Haag, Snelder Zijlstra Groep in Enschede, Boek en Offermans Makelaars in Heerlen en Maastricht, Boelens Jorritsma in Groningen, Ooms Groep Rotterdam e.o., Hol en Molenbeek in Utrecht en Bramer Makelaars in Zwolle, Van der Sande in Breda, Lamberink in o.a. Assen",194,687,682,https://www.funda.nl/en/makelaars/kantoor/den-haag/8189-frisia-makelaars/
Ooms Makelaars Rotterdam,3071 NJ,"Ooms Makelaars is al meer dan 90 jaar specialist in woonzaken. Onze enthousiaste makelaars verkopen, kopen, huren of verhuren jouw woning. We helpen je ook graag met een nieuwe hypotheek, het taxeren van je woning en het zoeken van de juiste verzekeringen voor jouw situatie.Ooms Makelaars zijn enthousiaste professionals. We wachten niet af, maar werken proactief. Wij willen weten wie je bent en wat je van ons verwacht. Wij makelen voor jou.Met vestigingen in Rotterdam, Schiedam, Capelle aan den IJssel, Dordrecht, Lansingerland, Hellevoetsluis, Spijkenisse, Barendrecht en de Hoeksche Waard hebben wij het grootste verzorgingsgebied in Zuid-Holland. We staan altijd dichtbij onze klanten!   Voor contactgegevens en meer informatie over onze vestiging in Rotterdam kun je terecht op onze website via https://ooms.com/vestigingen/makelaar-rotterdamTot snel!",387,591,599,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15036-ooms-makelaars-rotterdam/
Schieland Borsboom regio Den Haag,2496 TC,"Met kantoren in Rotterdam, Den Haag en Zoetermeer, een team waar we heel blij mee zijn, een mooie woningportefeuille en een flinke dosis gedrevenheid, staan wij dagelijks klaar voor onze kopers, verkopers, huurders, verhuurders, beleggers en projectontwikkelaars. Met trots prijken wij ieder jaar steevast in de Top 10 van de Vastgoed Top100 als Best Verkopende Makelaars.Ons makelaarskantoor bestaat al sinds 1980. Van éénpitter, naar familiebedrijf, naar een speler van formaat op de woningmarkt in de regio Den Haag Haaglanden, Zoetermeer, Delft, Leiden, Lansingerland en Rotterdam Rijnmond.‘Groot geworden door klein te blijven’ is dan ook een quote die ons past als een jas. In de vaak hectische en soms emotionele vastgoedmarkt, ligt onze kracht onverminderd bij het kwalitatief hoogwaardig, maar no-nonsense en vooral persoonlijk makelen. Wij houden het hoofd koel en het hart warm.Maar genoeg over ons; wij maken graag kennis met u! Nodig ons uit voor een geheel vrijblijvend gesprek en vertel ons over ú, uw woning, uw droomwoning, uw wensen, uw vragen en uw verwachtingen van ons. Wij zijn benieuwd!  ",111,403,400,https://www.funda.nl/en/makelaars/kantoor/den-haag/8634-schieland-borsboom-regio-den-haag/
Olsthoorn NVM Makelaars,2548 HN,"Op zoek naar een betrouwbaar makelaarskantoor dat u volledig kan ontzorgen? Gespecialiseerd in zowel nieuwbouw als bestaande bouw en met eigen taxateurs in huis? Of op zoek naar een nieuw (t)huis en hulp van een aankoopmakelaar nodig?Olsthoorn Makelaars is met haar drie vestigingen een full-service makelaarskantoor. Een specialist in de verkoop en aankoop van woningen, zowel nieuwbouw als bestaande bouw.  Wij adviseren u graag op welk moment en met welke verkoopstrategie u uw woning te koop kunt zetten.Gert-Jan en zussen Esther en Judith werken met veel enthousiasme samen. Dankzij klanten, opdrachtgevers en medewerkers zijn wij uitgegroeid tot een gerenommeerd kantoor. Het makelaarskantoor dat in het Wateringse Veld begon is inmiddels uitgebreid met een vestiging in de Haagse Vruchtenbuurt en in het centrum van Naaldwijk.In onze relatie met u streven wij naar transparantie en eerlijkheid. Met Olsthoorn Makelaars neemt u bovendien een NVM-makelaar in de arm, iets wat u als (ver)koper extra voordelen oplevert. Samen met u bepalen wij de stappen die wij nemen.Olsthoorn Makelaars is een full-service NVM kantoor met een hoofdvestiging centraal gelegen in het Wateringse Veld. Met de vestiging in de Haagse Vruchtenbuurt en in het centrum van Naaldwijk, biedt het kantoor aan de Santiagosingel een centrale plek voor (ver)kopers, opdrachtgevers en medewerkers.Bent u nieuwsgierig naar ons kantoor en wilt u meer informatie? Loop gerust eens binnen in één van onze vestigingen en ervaar het thuisgevoel!",345,422,426,https://www.funda.nl/en/makelaars/kantoor/den-haag/8629-olsthoorn-nvm-makelaars/
