name_broker,zipcode_broker,description_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months
van Santvoort Makelaars,5654 AN,Missing value,153,572,407
Makelaarsland,1821 BS,"Wij zijn Makelaarsland, en wij staan naast je als je dat nodig  hebt en achter je als je zelf het heft in handen neemt. Wij helpen  en ontzorgen. Wij zorgen ervoor dat je makkelijk, snel en effectief  je huis verkoopt óf een ander aankoopt. Met ervaring,  logica, de laatste techniek van vandaag en pasklare oplossingen en  gaan altijd voor het maximaal haalbare resultaat. Gegarandeerd. We  spannen ons voor ieder huis even hard in.  We hebben een vast  tarief en maken heldere afspraken. En dat doen we allemaal op een  nuchtere, open en eerlijke manier. Wij zijn Makelaarsland, we  geloven niet in mooie praatjes en maken waar wat we beloven.",Missing,604,2739
Schieland Borsboom regio Rotterdam,3011 KA,"Met kantoren in Rotterdam, Den Haag en Zoetermeer, een team waar  we heel blij mee zijn, een mooie woningportefeuille en een flinke  dosis gedrevenheid, staan wij dagelijks klaar voor onze kopers,  verkopers, huurders, verhuurders, beleggers en  projectontwikkelaars. Met trots prijken wij ieder jaar steevast in  de Top 10 van de Vastgoed Top100 als Best Verkopende Makelaars.",67,460,392
Hans Janssen Garantiemakelaars,6511 TE,"Wij onderscheiden ons in de eerste plaats door onze  medewerk(st)ers! Zij bepalen de kwaliteit van de dienstverlening  van Hans Janssen Garantiemakelaars. Maak kennis met  één van hen en met onze specifieke werkwijze als NVM  makelaar, Garantiemakelaar en NVM nieuwbouw-specialist!",136,404,490
Corpowonen,7901 AE,"Wij onderscheiden ons van de traditionele makelaar door het  aanbieden van deeldiensten op het gebied van verkoop van  bestaande koopwoningen, verkoop van nieuwbouwprojecten  en verhuur van (vrije sector) huurwoningen.",3,193,997
Eefje Voogd Makelaardij,1077 DG,Missing value,Missing,656,477
TW3 Strategie Marketing Makelaardij,3016 CJ,  TW staat voor Toegevoegde Waarde,Missing,567,443
Makelaardij Hoekstra Leeuwarden,8911 AW,Nagenoeg alle vastgoeddisciplines zijn in ons bedrijf  verenigd;,233,277,378
Damen Makelaardij,6417 BN,"Damen is een full-service advieskantoor voor  makelaardij, hypotheken en verzekeringen. Al drie generaties  lang!",174,169,579
Ooms Makelaars Rotterdam,3071 NJ,"Ooms Makelaars is al meer dan 90 jaar specialist in woonzaken.  Onze enthousiaste makelaars verkopen, kopen, huren of verhuren jouw  woning. We helpen je ook graag met een nieuwe hypotheek, het  taxeren van je woning en het zoeken van de juiste verzekeringen  voor jouw situatie.",387,589,597
Frisia Makelaars,2585 AA,Missing value,193,686,683
Olsthoorn NVM Makelaars,2548 HN,"Olsthoorn Makelaars is met haar drie vestigingen een  full-service makelaarskantoor. Een specialist in de verkoop en  aankoop van woningen, zowel nieuwbouw als bestaande bouw.  Wij  adviseren u graag op welk moment en met welke verkoopstrategie u uw  woning te koop kunt zetten.",344,427,429
Schieland Borsboom regio Den Haag,2496 TC,"Met kantoren in Rotterdam, Den Haag en Zoetermeer, een team waar  we heel blij mee zijn, een mooie woningportefeuille en een flinke  dosis gedrevenheid, staan wij dagelijks klaar voor onze kopers,  verkopers, huurders, verhuurders, beleggers en  projectontwikkelaars. Met trots prijken wij ieder jaar steevast in  de Top 10 van de Vastgoed Top100 als Best Verkopende Makelaars.",111,400,400
Van der Krabben makelaardij Oss BV,5341 HA,"Bij Van der Krabben zijn we thuis in de regio. Daardoor weten we  als geen ander wat er speelt en wat er allemaal bij een succesvolle  aankoop of verkoop van een woning komt kijken. Niet voor niets  beoordelen klanten ons met een gemiddeld rapportcijfer van 9,1!",211,182,530
Schieland Borsboom regio Zoetermeer,2712 HB,Missing value,544,419,419
WVK Makelaars,2271 BD,"Bent u op zoek, naast een waardevolle transactie, naar ook een  plezierige relatie met uw makelaar? Kom dan binnenkort,  vrijblijvend, eens langs bij ons kantoor in Voorburg of Nootdorp. U  bent meer dan welkom!",127,314,372
Punt Makelaars Utrecht,3512 VX,Missing value,Missing,174,441
Makelaardij de Parel,3826 EC,In ,360,270,292
Domicilie Makelaars,6711 BD," Domicilie is een toonaangevend full-service NVM  makelaarskantoor dat met 2 kantoren in Ede en Nijkerk actief is in  een groot werkgebied binnen de regio Ede-Wageningen tot Amersfoort.  Wij opereren binnen alle segmenten van de vastgoedmarkt: bestaande  bouw, nieuwbouw, exclusief wonen, bedrijfshuisvesting en taxaties,  maar met één doel: de ondersteuning bieden die jij  nodig hebt. Ons brede aanbod van diensten zorgt ervoor dat wij snel  kunnen schakelen en dat je alle zaken rondom verkoop, aankoop en  financiering bij één adres kunt regelen. Wel zo  makkelijk!",742,130,401
