SalesAgent,ReviewType,Reviews,ReviewScore,ReviewDate
11 Makelaars Amsterdam,Buy reviews,"Niels is een persoonlijke makelaar, een mensen-mens die niet schuwt om je opbouwend bij te sturen in realistische selectie en kritisch bijstaat in je aankoop. Een hele fijne en verfrissende ervaring.",10.0,25 June 2019
& Bijleveld makelaardij b.v.,Buy reviews,"Vanaf het eerste contact t/m het ondertekenen van het koop contract is alles heel soepel verlopen. Angelique is niet alleen heel ervaren, maar ook heel scherp en doortastend. Ze heeft heel duidelijk alles op een rijtje gezet voor mij, waardoor ik weloverwogen het huis heb kunnen kopen. Bovendien heeft zij de aankoopprijs helemaal uit onderhandeld. Naar mijn idee heb ik hierdoor een hele goede deal kunnen sluiten.Kortom, ik ben zeer tevreden!",9.5,21 October 2020
& Bijleveld makelaardij b.v.,Buy reviews,Superb service! I got a great help and support getting my apartment and fully recommend the service!,10.5,19 May 2020
& Bijleveld makelaardij b.v.,Buy reviews,"Geweldige service en deskundig advies voor geslaagde aankoop van appartement. Zeer fijne persoonlijke benadering en flexibel met tijden voor contact. Het proces van aankoop kan best stressvol zijn, het gaat soms heel snel. Angelique en team geven je vertrouwen door hun enorme expertise en zeer actieve benadering. ",9.5,27 March 2020
& Bijleveld makelaardij b.v.,Buy reviews,"Prettig contact gedurende het aankooptraject, steeds goed overleg, deskundige medewerkers, met oog voor detail, oplettend, al met al zeker een aan te bevelen makelaar.",9.5,24 January 2020
& Bijleveld makelaardij b.v.,Buy reviews,"&Bijleveld schakelt snel wanneer het moet - zoals in mijn geval - en heeft het huis onder goede voorwaarden weten aan te kopen.Het kantoor bestaat uit een kernteam van sterke vrouwen die kennis van (hun) zaken hebben.Zakelijk, nuchter en praktisch, met een prettig sociaal randje.",10.5,16 September 2019
11 Makelaars Amsterdam,Sale reviews,Op een deskundige en plezierige wijze heb ik genoten van de vakkundige diensten en goede kennis van 11Makeaars.,10.0,4 August 2020
11 Makelaars Amsterdam,Sale reviews,"Wij zijn prima geadviseerd en geholpen door Niels en zijn aardige en gemotiveerde medewerkers. Rustig, onderbouwd en op een duidelijk wijze werden ons de mogelijkheden voorgehouden die bij de verkoop van de woning op ons afkwamen. Voor ons maakte 11Makelaars het positieve verschil dat we al snel het gevoel en de overtuiging kregen dat het om ons als klant ging en niet om de makelaar die een geolied verkoopapparaat wilde laten draaien om zelf een stevige factuur te kunnen sturen, Chapeau 11Makelaars !",9.0,13 May 2020
11 Makelaars Amsterdam,Sale reviews,Makelaar Niels heeft ons fantastisch begeleid in dit spannende proces en een goede koper gevonden die een mooie prijs heeft betaald. Zeker een aanrader. Niels is een goed bereikbare no nonsense vent die je het gunt.,9.0,15 February 2020
11 Makelaars Amsterdam,Sale reviews,Het contact met de makelaar verliep uitstekend temeer daar er vaak overlegd is op afstand per telefoon vanuit Frankrijk en per e-mail wat altijd wat moeilijker is dan gesprekken in een lijflijke ontmoeting.,9.0,3 October 2019
11 Makelaars Amsterdam,Sale reviews,"Het verkoopproces verliep precies zoals van te voren werd aangegeven. Korte lijntjes, op tijd en gelukkig niet steeds afgezegde afspraken",8.0,24 September 2019
123 makelaar o.z.,Buy reviews,Uitstekend geholpen door Huybert van 123makelaars! Volgde het hele proces en onderhield goed contact bij elke stap. Ik ben er zeker van dat ik zonder zijn onderhandelingen nu niet heerlijk op mijn eigen bank zou zitten. ,9.0,3 November 2019
123 makelaar o.z.,Buy reviews,"Huybert van 123Makelaars heeft mij naar volle tevredenheid geholpen bij de zoektocht naar en aankoop van mijn huis in een tijd waarin de huizenmarkt in Amsterdam op z'n minst 'uitdagend' - zacht uitgedrukt - is. Ik ga vaak af op goede ervaringen van anderen en kreeg 123 Makelaars/Huybert als tip van een vriendin die ook erg tevreden was. De plussen in een paar steekwoorden: veel kennis van de praktijk, bereid mee te helpen zoeken, advies m.b.t aternatieve zoekopdrachten, uitgebreid de tijd voor een oriëntatieochtend langs verschillende wijken, toegankelijk/prettig contact, kritisch (kreeg nooit het gevoel dat de makelaar 'haast' had), realistisch, bouwkundige kennis, topper in onderhandelen (met resultaat). Dit alles maakt dat ik de keuze voor een aankoopmakelaar van grote meerwaarde vond!",9.0,13 October 2017
123 makelaar o.z.,Buy reviews,"Dankzij het zeer deskundige advies en snelle optreden van mijn makelaar Huybert, heb ik binnen afzienbare tijd en voor een gunstige prijs mijn woning aangeschaft. Wat mij betreft een absolute aanrader voor een ieder die een aankopende makelaar zoekt. ",9.0,22 May 2017
123 makelaar o.z.,Buy reviews,A top service from buying to selling my apartment. Found the perfect apartment for the right price in a great area couldn't have asked for more. ,10.0,7 May 2017
123 makelaar o.z.,Buy reviews,"Zeer goede ervaring en resultaat. Persoonlijk advies, altijd bereikbaar en haalt er voor jou de beste deal uit. Ik zou Huybert van 123 makelaar iedereen aanraden!",10.0,2 May 2017
& Bijleveld makelaardij b.v.,Sale reviews,"Alice en Angelique hebben me enorm geholpen met de verkoop van mijn huis! Ze zijn behulpzaam, goed bereikbaar, betrokken en integer. Ze behandelen ook de wederpartij met respect in deze oververhitte Amsterdamse huizenmarkt, wat heeft geleid tot een soepel proces en een goed resultaat voor mij als verkoper.",9.8,17 November 2020
& Bijleveld makelaardij b.v.,Sale reviews,"Angelique, Alice, Esther en Mireille hebben ons professioneel en super begeleid, hadden nuttige tips voor het verkoop klaar maken van ons appartement (do's en don'ts!!) en goed advies voor de insteek en benadering van de verkoop.Ook tijdens het verkoop process een prettige communicatie met terugkoppeling over de voortgang en professioneel advies voor de vervolgstappen in de onderhandelingen, wat het toch wel spannenende verkoop proces behoorlijk aangenamer maakt.Al met al een geslaagde verkoop door &Bijleveld!",10.8,5 November 2020
& Bijleveld makelaardij b.v.,Sale reviews,"Angelique, Alice en Esther zijn kundig en heel prettig om mee te werken. Ze overtroffen mijn verwachtingen door echt goed mee te denken en oplossingen te zoeken als een onvoorziene situatie daarom vraagt. Ik zou & Bijleveld zeker aanraden als je een makelaar zoekt! ",10.8,4 November 2020
& Bijleveld makelaardij b.v.,Sale reviews,Angelique Bijleveld is een zeer deskundige en professionele makelaar die heel goed weet hoe je een huis moet verkopen. Haar tips voor de verkoop van het huis zijn doeltreffend en ze werkt met mensen samen die een goede kwaliteit leveren. Ze luistert goed en reageert snel. Het is heel fijn om met haar samen te werken. In Abcoude was ze nog niet zo thuis maar vanaf nu wel. Ik kan haar zeker aanbevelen! ,9.8,3 November 2020
& Bijleveld makelaardij b.v.,Sale reviews,Prettig in omgang en zeer correct in het op de hoogte houden van de voortgang.Zou bij een volgende keer zeker weer aankloppen bij &Bijleveld,9.8,2 November 2020
123 makelaar o.z.,Sale reviews,Het contact met de makelaar verliep prima. Ik kon altijd bellen/ mailen en kreeg steeds snel een reactie. ,9.3,25 November 2020
123 makelaar o.z.,Sale reviews,"Zowel het plan van aanpak, de uitvoering en de nazorg is van een erg hoog nivo. Enerzijds meedenken en anderzijds cordaat handelen. Een brede kennis van de markt & locatie zowel specifiek en algemeen. Met focus op optimalisering korte termijn opbrengst, maar niet de lange termijn (mogelijkheden) uit het oog verliezend. ",10.3,15 May 2020
123 makelaar o.z.,Sale reviews,Perfect geholpen door Kaylee en huybert zeer correct en vriendelijk geholpen door de makelaar en Kaylee van 123 makelaar s,10.3,25 November 2019
123 makelaar o.z.,Sale reviews,"Wij konden onze makelaar Huybert altijd bellen, was nooit een probleem. Als we iets niet begrepen nam hij de tijd te luisteren en advies te geven. Heel fijn! Ook zijn secretaresse, Kaylee heeft ons telkens bij gestaan. Als ik vragen had of in paniek was gaf zij steunende adviezen. Echt lief. Bedankt! Lieve groet, Ben en Thea Sterk",10.3,25 November 2019
123 makelaar o.z.,Sale reviews,"Professioneel en deskundig advies, vriendelijk en betrokken. Geeft waardevolle ondersteuning tijdens hele verkoop traject en veel goede tips voor gerelateerde zaken",9.3,18 November 2019
