,house_id,image,objects,probabilities
0,0,6339f9dbe1198eb87ab9b542d55a1d110826b3bc.jpg,car,0.9964037537574768
1,0,6339f9dbe1198eb87ab9b542d55a1d110826b3bc.jpg,car,0.9919649958610535
0,1,756a962940bd20d6122e5e5d875081225a3e058a.jpg,car,0.9994886517524719
1,1,756a962940bd20d6122e5e5d875081225a3e058a.jpg,car,0.9983919858932495
2,1,756a962940bd20d6122e5e5d875081225a3e058a.jpg,car,0.9942664504051208
3,1,756a962940bd20d6122e5e5d875081225a3e058a.jpg,car,0.9530022740364075
4,1,756a962940bd20d6122e5e5d875081225a3e058a.jpg,car,0.9395192265510559
0,4,c0df940d9a007327d1f8d225addf93572d0dd4e5.jpg,bicycle,0.8376739025115967
1,4,c0df940d9a007327d1f8d225addf93572d0dd4e5.jpg,pottedplant,0.7274739742279053
0,5,c9740e2d6b1ca35db1c89bd82658dade1334bfb2.jpg,pottedplant,0.5039238333702087
0,8,069862600c8c1e6224a2f964c475c70903e49218.jpg,car,0.962221086025238
0,9,abf585d53a90508b8404f717fa1ae08dfff20357.jpg,car,0.9882349967956543
1,9,abf585d53a90508b8404f717fa1ae08dfff20357.jpg,bench,0.7067787647247314
0,10,c35248d20526fb20046d405574ca0115795bacd0.jpg,pottedplant,0.5719087719917297
0,15,ff0ea93b793ba2b98522141148f48f567fd11a01.jpg,car,0.9963449835777283
0,16,290bf099d48b44a86077ee1ca3b8302116ddecbe.jpg,car,0.9733251333236694
1,16,290bf099d48b44a86077ee1ca3b8302116ddecbe.jpg,car,0.7675432562828064
0,18,1ebc6c86ead8dc6aa37bb83acb5c19bb9329b109.jpg,car,0.9508004784584045
1,18,1ebc6c86ead8dc6aa37bb83acb5c19bb9329b109.jpg,pottedplant,0.7718608379364014
2,18,1ebc6c86ead8dc6aa37bb83acb5c19bb9329b109.jpg,car,0.7046464085578918
3,18,1ebc6c86ead8dc6aa37bb83acb5c19bb9329b109.jpg,car,0.626453697681427
4,18,1ebc6c86ead8dc6aa37bb83acb5c19bb9329b109.jpg,car,0.6149401068687439
0,19,d8e02f438b7de9044806615f8e3cfe2b1c0ad1a8.jpg,chair,0.983568012714386
1,19,d8e02f438b7de9044806615f8e3cfe2b1c0ad1a8.jpg,chair,0.9428218007087708
2,19,d8e02f438b7de9044806615f8e3cfe2b1c0ad1a8.jpg,diningtable,0.8971396684646606
3,19,d8e02f438b7de9044806615f8e3cfe2b1c0ad1a8.jpg,chair,0.8952946662902832
4,19,d8e02f438b7de9044806615f8e3cfe2b1c0ad1a8.jpg,chair,0.8622093200683594
5,19,d8e02f438b7de9044806615f8e3cfe2b1c0ad1a8.jpg,pottedplant,0.7140186429023743
0,20,640e3915d3ed35c0db5260d8a3fb83c21c6ba08e.jpg,car,0.568011462688446
1,20,640e3915d3ed35c0db5260d8a3fb83c21c6ba08e.jpg,car,0.5083496570587158
0,30,636fec572073b7efde85518449d86b3e707f9974.jpg,car,0.9744092226028442
1,30,636fec572073b7efde85518449d86b3e707f9974.jpg,car,0.9385198950767517
0,31,a8f5406cddbd39bae0a973dcb0ef27d5aee0fa5b.jpg,pottedplant,0.8123061656951904
1,31,a8f5406cddbd39bae0a973dcb0ef27d5aee0fa5b.jpg,pottedplant,0.7682373523712158
2,31,a8f5406cddbd39bae0a973dcb0ef27d5aee0fa5b.jpg,bench,0.6539273262023926
3,31,a8f5406cddbd39bae0a973dcb0ef27d5aee0fa5b.jpg,pottedplant,0.5231249332427979
4,31,a8f5406cddbd39bae0a973dcb0ef27d5aee0fa5b.jpg,pottedplant,0.5220485925674438
0,32,856adaf1c40ffd814b4c3753cd3dd8bd183556b4.jpg,pottedplant,0.6619470119476318
1,32,856adaf1c40ffd814b4c3753cd3dd8bd183556b4.jpg,pottedplant,0.5811246037483215
0,33,50262be516a1b9e4fd7346a9d7f26cc7f0239533.jpg,chair,0.9969566464424133
1,33,50262be516a1b9e4fd7346a9d7f26cc7f0239533.jpg,sofa,0.9874551892280579
2,33,50262be516a1b9e4fd7346a9d7f26cc7f0239533.jpg,chair,0.934151828289032
3,33,50262be516a1b9e4fd7346a9d7f26cc7f0239533.jpg,pottedplant,0.5300368666648865
4,33,50262be516a1b9e4fd7346a9d7f26cc7f0239533.jpg,chair,0.5255829691886902
0,35,6f9fa0f6a6794f0d9281d1bc6019661509208686.jpg,bench,0.9227116703987122
1,35,6f9fa0f6a6794f0d9281d1bc6019661509208686.jpg,pottedplant,0.6966720819473267
0,36,c833e069c90ea3299de624eb5bc25e3a59a10740.jpg,car,0.9979828000068665
1,36,c833e069c90ea3299de624eb5bc25e3a59a10740.jpg,car,0.9758133292198181
2,36,c833e069c90ea3299de624eb5bc25e3a59a10740.jpg,car,0.9440072774887085
3,36,c833e069c90ea3299de624eb5bc25e3a59a10740.jpg,car,0.9262679219245911
0,38,302157aa35dd800b792118dd623f86b0e70c2893.jpg,car,0.9549891352653503
1,38,302157aa35dd800b792118dd623f86b0e70c2893.jpg,car,0.9498404860496521
2,38,302157aa35dd800b792118dd623f86b0e70c2893.jpg,car,0.903256893157959
3,38,302157aa35dd800b792118dd623f86b0e70c2893.jpg,car,0.8565385937690735
0,40,ff626274af155eaf4f2247cd8dab78e68cc73dd2.jpg,pottedplant,0.7794954180717468
0,42,d974a096ade3eae570b7bd20896b7ece329a8104.jpg,car,0.9142806529998779
